epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.332,3.20902,1.82099,0.93209,0.30948,0.03498,0.0467,0.0212,3.39295,1.95874,0.84802,0.0671183,0.000332139,0.000332139
2,307.422,3.18706,1.74107,0.914,0.21614,0.04893,0.05223,0.02406,3.19031,1.84411,0.82049,0.0341161,0.000663276,0.000663276
3,407.887,3.12795,1.76171,0.93656,0.20983,0.05704,0.0496,0.02168,3.24232,1.8062,0.81028,0.00111169,0.000992213,0.000992213
4,517.756,3.11947,1.74777,0.93193,0.25892,0.07194,0.05516,0.02319,3.28125,1.76997,0.82479,0.0009901,0.0009901,0.0009901
5,635.945,3.11521,1.72693,0.93674,0.18049,0.05611,0.05096,0.02297,3.32643,1.92118,0.81423,0.0009868,0.0009868,0.0009868
6,736.07,3.06485,1.69394,0.92925,0.27383,0.09359,0.06312,0.02904,3.20509,1.90424,0.81129,0.0009835,0.0009835,0.0009835
7,864.667,3.07686,1.6694,0.91679,0.27089,0.07445,0.05693,0.02665,3.33095,1.89897,0.82377,0.0009802,0.0009802,0.0009802
8,963.341,3.07602,1.67415,0.91878,0.30867,0.08833,0.06199,0.02537,3.20246,1.83191,0.83973,0.0009769,0.0009769,0.0009769
9,1099.77,3.05557,1.65414,0.90802,0.35091,0.08212,0.06195,0.02943,3.2047,1.82853,0.8116,0.0009736,0.0009736,0.0009736
10,1199.85,2.96815,1.58143,0.8969,0.27138,0.07582,0.05682,0.02616,3.21184,1.75932,0.83626,0.0009703,0.0009703,0.0009703
11,1330.7,2.94167,1.61745,0.90716,0.27049,0.07527,0.06412,0.03245,3.18636,1.86235,0.79611,0.000967,0.000967,0.000967
12,1430.53,2.95869,1.58319,0.90729,0.29681,0.08143,0.06514,0.02988,3.08923,1.72486,0.81106,0.0009637,0.0009637,0.0009637
13,1561.14,2.96779,1.59007,0.90458,0.3097,0.07335,0.06771,0.03353,3.07064,1.85565,0.81254,0.0009604,0.0009604,0.0009604
14,1662.31,2.89393,1.53853,0.90126,0.30385,0.11591,0.07013,0.0287,3.13689,1.7258,0.82696,0.0009571,0.0009571,0.0009571
15,1787.83,2.9823,1.56407,0.89636,0.31659,0.09138,0.0695,0.03126,3.09824,1.70755,0.8255,0.0009538,0.0009538,0.0009538
16,1893.21,2.92932,1.58958,0.90615,0.35302,0.07139,0.0633,0.02943,3.1226,1.84411,0.8371,0.0009505,0.0009505,0.0009505
17,2020.7,2.79709,1.48273,0.90308,0.34387,0.06885,0.06588,0.03076,3.01266,1.81773,0.83612,0.0009472,0.0009472,0.0009472
18,2127.29,2.82588,1.48827,0.90143,0.29071,0.07517,0.07991,0.03466,3.01492,1.68892,0.82336,0.0009439,0.0009439,0.0009439
19,2246.76,2.87317,1.51372,0.89488,0.37448,0.10574,0.07169,0.03356,2.98735,1.68048,0.80935,0.0009406,0.0009406,0.0009406
20,2355.68,2.84693,1.47311,0.89393,0.34113,0.07214,0.06376,0.03067,3.05914,1.6666,0.79912,0.0009373,0.0009373,0.0009373
21,2472.58,2.88377,1.51294,0.88414,0.33129,0.08247,0.06882,0.03337,2.98965,1.62149,0.82873,0.000934,0.000934,0.000934
22,2586.11,2.78742,1.48018,0.87925,0.36966,0.09295,0.07915,0.03779,2.96531,1.63442,0.80323,0.0009307,0.0009307,0.0009307
23,2699.24,2.76329,1.46985,0.89083,0.31364,0.07999,0.07353,0.03564,2.92893,1.59908,0.81541,0.0009274,0.0009274,0.0009274
24,2816.71,2.72156,1.4509,0.89142,0.36422,0.0823,0.06815,0.03116,3.03404,1.69988,0.82038,0.0009241,0.0009241,0.0009241
25,2926.17,2.89997,1.53309,0.87832,0.35873,0.10257,0.07679,0.03681,2.95199,1.64989,0.79833,0.0009208,0.0009208,0.0009208
26,3050.3,2.81931,1.45981,0.88884,0.37774,0.11124,0.0917,0.03712,2.96373,1.75628,0.80181,0.0009175,0.0009175,0.0009175
27,3158.05,2.78838,1.46419,0.89655,0.35387,0.10688,0.08272,0.03967,3.02081,1.67924,0.79564,0.0009142,0.0009142,0.0009142
28,3284.54,2.75299,1.43588,0.89157,0.34695,0.07511,0.07741,0.03656,3.02277,1.74268,0.79452,0.0009109,0.0009109,0.0009109
29,3393.29,2.7954,1.47779,0.88698,0.30191,0.06845,0.06747,0.03217,3.11151,1.83692,0.81244,0.0009076,0.0009076,0.0009076
30,3518.3,2.83922,1.52866,0.89172,0.30695,0.06252,0.06548,0.02959,3.17177,1.78538,0.82918,0.0009043,0.0009043,0.0009043
31,3623.32,2.76883,1.47144,0.88986,0.31969,0.10752,0.09157,0.04188,2.97413,1.60889,0.79321,0.000901,0.000901,0.000901
32,3752.31,2.69112,1.39794,0.87963,0.26299,0.09891,0.05979,0.02941,2.87606,5.27388,0.7964,0.0008977,0.0008977,0.0008977
33,3854.61,2.72967,1.38414,0.88038,0.31585,0.07933,0.06626,0.03192,2.9422,1.64413,0.80437,0.0008944,0.0008944,0.0008944
34,3987.63,2.7297,1.41289,0.88972,0.3322,0.097,0.07219,0.03486,2.96397,1.69297,0.78839,0.0008911,0.0008911,0.0008911
35,4087.57,2.67971,1.38755,0.89544,0.29195,0.11537,0.08482,0.03947,2.92038,1.54504,0.80369,0.0008878,0.0008878,0.0008878
36,4219.66,2.72529,1.42779,0.87566,0.35821,0.08639,0.07954,0.03679,2.95316,1.66458,0.79844,0.0008845,0.0008845,0.0008845
37,4318.77,2.72915,1.43726,0.87415,0.40405,0.07769,0.07572,0.03798,2.99286,1.70575,0.79011,0.0008812,0.0008812,0.0008812
38,4454.32,2.7198,1.40465,0.87677,0.35602,0.10658,0.09148,0.0414,2.92301,1.72558,0.79163,0.0008779,0.0008779,0.0008779
39,4555.59,2.75183,1.45894,0.87594,0.34972,0.10171,0.09739,0.04628,2.9945,1.71147,0.79395,0.0008746,0.0008746,0.0008746
40,4690.16,2.84045,1.47569,0.86701,0.41038,0.09086,0.09166,0.04419,2.93027,1.67002,0.79105,0.0008713,0.0008713,0.0008713
41,4791.9,2.75473,1.42588,0.86287,0.3296,0.10422,0.08765,0.03977,2.89487,1.67934,0.79293,0.000868,0.000868,0.000868
42,4927.58,2.75976,1.43843,0.85801,0.52194,0.09907,0.08989,0.04386,2.88499,1.91081,0.78985,0.0008647,0.0008647,0.0008647
43,5027.46,2.68822,1.44472,0.86545,0.5203,0.10723,0.09574,0.04559,2.91036,1.56726,0.78792,0.0008614,0.0008614,0.0008614
